Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2020-02-11 14:03:05,31728,974,2310,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Guangdong,Mainland China,2020-02-11 14:03:05,1177,1,212,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Zhejiang,Mainland China,2020-02-11 12:53:02,1117,0,270,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Henan,Mainland China,2020-02-11 14:03:05,1105,7,218,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Hunan,Mainland China,2020-02-11 12:53:02,912,1,247,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Anhui,Mainland China,2020-02-11 09:43:02,860,4,105,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Jiangxi,Mainland China,2020-02-11 14:03:05,804,1,128,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Jiangsu,Mainland China,2020-02-11 08:13:06,515,0,93,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Chongqing,Mainland China,2020-02-11 08:43:02,489,2,72,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Shandong,Mainland China,2020-02-11 11:23:04,487,1,80,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Sichuan,Mainland China,2020-02-11 11:23:04,417,1,85,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Heilongjiang,Mainland China,2020-02-11 11:23:04,360,8,28,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Beijing,Mainland China,2020-02-11 03:03:07,342,3,48,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Shanghai,Mainland China,2020-02-11 06:23:02,303,1,52,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Fujian,Mainland China,2020-02-11 14:03:05,267,0,45,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Hebei,Mainland China,2020-02-11 11:23:04,239,2,48,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Shaanxi,Mainland China,2020-02-11 06:03:16,219,0,32,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Guangxi,Mainland China,2020-02-11 11:23:04,215,1,33,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Yunnan,Mainland China,2020-02-11 09:23:04,153,0,20,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Hainan,Mainland China,2020-02-11 14:33:02,144,3,20,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Diamond Princess cruise ship,Others,2020-02-10 16:03:12,135,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Guizhou,Mainland China,2020-02-11 14:03:05,127,1,17,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Shanxi,Mainland China,2020-02-11 12:53:02,122,0,30,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Liaoning,Mainland China,2020-02-11 12:53:02,111,0,19,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Tianjin,Mainland China,2020-02-11 14:13:06,105,2,10,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Gansu,Mainland China,2020-02-11 15:23:04,86,2,24,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Jilin,Mainland China,2020-02-11 08:03:06,81,1,18,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Inner Mongolia,Mainland China,2020-02-10 02:43:05,58,0,5,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Xinjiang,Mainland China,2020-02-11 09:13:11,55,0,3,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Ningxia,Mainland China,2020-02-11 10:03:08,53,0,22,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Hong Kong,Hong Kong,2020-02-11 09:43:02,49,1,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Singapore,2020-02-11 02:33:02,45,0,7,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Thailand,2020-02-08 12:53:01,32,0,10,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,South Korea,2020-02-11 02:53:02,28,0,3,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Japan,2020-02-11 02:53:02,26,0,9,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Qinghai,Mainland China,2020-02-11 11:23:04,18,0,5,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Malaysia,2020-02-11 03:13:13,18,0,3,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Taiwan,Taiwan,2020-02-09 09:13:11,18,0,1,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Vietnam,2020-02-11 02:53:02,15,0,1,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Germany,2020-02-09 06:13:11,14,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,France,2020-02-08 09:53:01,11,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Macau,Macau,2020-02-06 14:23:04,10,0,1,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,UK,2020-02-10 19:03:02,8,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,United Arab Emirates,2020-02-10 23:03:09,8,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Queensland,Australia,2020-02-09 19:33:02,5,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
New South Wales,Australia,2020-02-06 03:13:22,4,0,2,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Victoria,Australia,2020-02-01 18:12:49,4,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
British Columbia,Canada,2020-02-07 05:43:03,4,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,India,2020-02-03 21:43:02,3,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Italy,2020-02-07 17:53:02,3,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Philippines,2020-02-07 16:43:04,3,1,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
South Australia,Australia,2020-02-02 22:33:07,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
"Toronto, ON",Canada,2020-02-04 00:13:06,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Russia,2020-01-31 16:13:45,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Spain,2020-02-09 20:33:03,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
"Chicago, IL",US,2020-02-09 19:03:03,2,0,2,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
"San Benito, CA",US,2020-02-03 03:53:02,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
"Santa Clara, CA",US,2020-02-03 00:43:02,2,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Belgium,2020-02-04 15:43:02,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Cambodia,2020-01-31 08:15:53,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
"London, ON",Canada,2020-02-04 00:03:11,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Finland,2020-01-31 08:15:53,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
Tibet,Mainland China,2020-02-01 01:52:40,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Nepal,2020-01-31 08:15:53,1,0,0,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
,Sri Lanka,2020-02-08 03:43:03,1,0,1,2020-02-11 10:50:00,Feb11,2020,2,11,10,50
