Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
,Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536,Mar04,2020,3,4
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,Mar04,2020,3,4
,Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032,Mar04,2020,3,4
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55,Mar04,2020,3,4
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,Mar04,2020,3,4
,Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317,Mar04,2020,3,4
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,Mar04,2020,3,4
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,Mar04,2020,3,4
,Morocco,2020-03-03T15:33:02,1,0,0,31.7917,-7.0926,Mar04,2020,3,4
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,Mar04,2020,3,4
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,Mar04,2020,3,4
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,Mar04,2020,3,4
,Poland,2020-03-04T15:13:18,1,0,0,51.9194,19.1451,Mar04,2020,3,4
,Saudi Arabia,2020-03-02T23:53:02,1,0,0,24.0,45.0,Mar04,2020,3,4
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,Mar04,2020,3,4
,Tunisia,2020-03-04T01:33:07,1,0,0,34.0,9.0,Mar04,2020,3,4
" Norfolk County, MA",US,2020-03-03T14:33:03,1,0,0,42.1767,-71.1449,Mar04,2020,3,4
"Berkeley, CA",US,2020-03-03T23:53:03,1,0,0,37.8715,-122.273,Mar04,2020,3,4
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,Mar04,2020,3,4
"Contra Costa County, CA",US,2020-03-04T04:23:05,1,0,0,37.8534,-121.9018,Mar04,2020,3,4
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695,Mar04,2020,3,4
"Madison, WI",US,2020-03-03T15:53:03,1,0,1,43.0731,-89.4012,Mar04,2020,3,4
"Maricopa County, AZ",US,2020-03-03T17:33:02,1,0,0,33.2918,-112.4291,Mar04,2020,3,4
"New York City, NY",US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006,Mar04,2020,3,4
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936,Mar04,2020,3,4
"Sarasota, FL",US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307,Mar04,2020,3,4
"Sonoma County, CA",US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888,Mar04,2020,3,4
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94,Mar04,2020,3,4
"Umatilla, OR",US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606,Mar04,2020,3,4
"Wake County, NC",US,2020-03-03T20:53:02,1,0,0,35.8032,-78.5661,Mar04,2020,3,4
,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656,Mar04,2020,3,4
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,Mar04,2020,3,4
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134,Mar04,2020,3,4
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758,Mar04,2020,3,4
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399,Mar04,2020,3,4
