Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/27/20 9:00,1423,76.0,45.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Guangdong,Mainland China,1/27/20 9:00,151,,3.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Zhejiang,Mainland China,1/27/20 9:00,128,,1.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Henan,Mainland China,1/27/20 9:00,128,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Chongqing,Mainland China,1/27/20 9:00,110,1.0,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Hunan,Mainland China,1/27/20 9:00,100,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Shandong,Mainland China,1/27/20 9:00,75,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Beijing,Mainland China,1/27/20 9:00,72,,2.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Anhui,Mainland China,1/27/20 9:00,70,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Sichuan,Mainland China,1/27/20 9:00,69,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Fujian,Mainland China,1/27/20 9:00,56,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Shanghai,Mainland China,1/27/20 9:00,53,1.0,3.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Jiangxi,Mainland China,1/27/20 9:00,48,,1.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Jiangsu,Mainland China,1/27/20 9:00,47,,1.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Guangxi,Mainland China,1/27/20 9:00,46,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Shaanxi,Mainland China,1/27/20 9:00,35,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Hainan,Mainland China,1/27/20 9:00,33,1.0,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Liaoning,Mainland China,1/27/20 9:00,27,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Yunnan,Mainland China,1/27/20 9:00,26,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Tianjin,Mainland China,1/27/20 9:00,22,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Heilongjiang,Mainland China,1/27/20 9:00,21,1.0,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Hebei,Mainland China,1/27/20 9:00,18,1.0,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Gansu,Mainland China,1/27/20 9:00,14,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Shanxi,Mainland China,1/27/20 9:00,13,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Inner Mongolia,Mainland China,1/27/20 9:00,11,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Hong Kong,Hong Kong,1/27/20 9:00,8,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Guizhou,Mainland China,1/27/20 9:00,7,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Ningxia,Mainland China,1/27/20 9:00,7,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Jilin,Mainland China,1/27/20 9:00,6,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Macau,Macau,1/27/20 9:00,6,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Taiwan,Taiwan,1/27/20 9:00,5,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Xinjiang,Mainland China,1/27/20 9:00,5,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Qinghai,Mainland China,1/27/20 9:00,4,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Washington,US,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Illinois,US,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
California,US,1/27/20 9:00,2,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Arizona,US,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Japan,1/27/20 9:00,4,,1.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Thailand,1/27/20 9:00,8,,2.0,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,South Korea,1/27/20 9:00,4,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Singapore ,1/27/20 9:00,4,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Vietnam,1/27/20 9:00,2,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,France,1/27/20 9:00,3,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Australia,1/27/20 9:00,5,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Nepal,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Malaysia ,1/27/20 9:00,4,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
Ontario,Canada,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
,Cambodia,1/27/20 9:00,1,,,2020-01-27 09:00:00,Jan27,2020,1,27,9,0
